source_id,doc_kind,trust_level,num_docs,median_chars
learn_kubernetes_security_book,pdf_page,trusted,285,1507.0
k8s_access_control_docs,guide_section,official,193,700.0
k8s_security_docs,guide_section,official,190,583.0
k8s_security_observability_book,pdf_page,trusted,177,2227.0
k8s_operational_security_docs,guide_section,official,96,594.0
k8s_cve_feed,cve_feed_item,official,90,2299.5
owasp_k8s_cheatsheet,guide_section,trusted,68,647.5
aalto_k8s_security_thesis,pdf_page,trusted,65,2109.0
nsa_cisa_k8s_hardening,pdf_page,official,58,1652.5
nist_sp_800_190,pdf_page,official,56,2810.5
cncf_cloud_native_security_whitepaper,pdf_page,trusted,51,2409.0
wallarm_kubernetes_security_whitepaper,pdf_page,trusted,20,3086.0
practical_devsecops_kubernetes_security_101,pdf_page,trusted,18,1037.0
redhat_kubernetes_security_pdf,pdf_page,trusted,14,3044.5
